"site","month","cl","el_cond","nh4","no2","no3","o2_mg","ph","po4","water_temp","flow","max_sumtu_iv","low_rip_veg","min_dist_field","land_use_agri","curvature","riffles","shading","fine_sed","totalarea","urban","pastures","agriculture","nat_nonforest","forest","rip_urban","rip_forest","rip_past","rip_agri","refugium"
"A","June",28,0.703,0.1,0.06,3.8,5.82,8.27,0.5,22.43,0.307,-1.059,0.225,5,0.925,3,0.6,0.2,0.2,29.201,0.057,0.708,0.119,0,0.095,0.087,0.115,0.602,0.168,0
"A","April",1,0.76,0.2,0.05,1,NA,8.04,0.2,17.2,0.35,-1.059,0.55,5,0.4,3,0.4,0,0.35,29.201,0.057,0.708,0.119,0,0.095,0.087,0.115,0.602,0.168,0
"B","April",11,0.38,0.4,0.01,1,NA,8.66,0.2,17.1,0.387,-1.349,0.65,3,0,5,0.9,0,0.05,102.186,0.04,0.41,0.122,0.002,0.315,0.06,0.475,0.293,0.073,1
"B","June",19,0.297,0.1,0.01,1,7.97,8.91,0.3,27.9,0.277,-1.349,0.45,10,0,4,1,0,0.05,102.186,0.04,0.41,0.122,0.002,0.315,0.06,0.475,0.293,0.073,1
"C","April",28,0.91,0.1,0.02,1.9,NA,8.17,0.4,17.3,0.29,-0.814,0.475,2,0.475,4,0.3,0.8,0.3,7.599,0.013,0.264,0.588,0,0.076,0,0.075,0.403,0.522,0
"C","June",41,0.945,0.1,0.03,1.6,5.76,8.2,1,22.42,0.14,-0.814,0.45,3,0.475,5,0.4,0.6,0.65,7.599,0.013,0.264,0.588,0,0.076,0,0.075,0.403,0.522,0
"D","April",22,0.71,0.1,0.01,1.2,NA,8.43,0.5,15.8,0.593,-0.179,0.225,50,0.2,6,0.95,0.9,0,134.668,0.063,0.452,0.097,0,0.315,0.104,0.309,0.418,0.099,1
"D","June",27,0.696,0.1,0.01,1.9,8.46,8.37,0.2,19.17,0.443,-0.179,0.125,50,0,5,0.9,0.2,0,134.668,0.063,0.452,0.097,0,0.315,0.104,0.309,0.418,0.099,1
"E","April",9,0.51,0.1,0.01,1,NA,7.74,0.4,14.2,0.17,-0.407,0.125,5,0.025,7,0.1,0.7,0.45,35.186,0.07,0.211,0.397,0,0.282,0.086,0.249,0.221,0.405,1
"E","June",8,0.336,0.1,0.02,0.1,6.72,8.03,0.6,21.15,0.233,-0.407,0.252,10,0,6,0.1,0.9,0.5,35.186,0.07,0.211,0.397,0,0.282,0.086,0.249,0.221,0.405,1
"F","April",14,0.95,0.1,0.02,1,NA,8,0.4,14,0.037,-0.512,0,5,0.125,6,0,0.9,0.6,21.823,0.056,0.205,0.529,0,0.126,0.106,0.064,0.099,0.635,0
"F","June",12,0.742,0.1,0.01,1,5.05,8.02,0.7,20.88,0.047,-0.512,0,10,0.1,6,0.1,1,0.3,21.823,0.056,0.205,0.529,0,0.126,0.106,0.064,0.099,0.635,0
"G","April",16,1.07,0.1,0.02,1,NA,8.11,0.3,14.5,0.213,-0.169,0.075,20,0,7,0,0.95,0.95,117.752,0.065,0.226,0.437,0,0.13,0.131,0.067,0.208,0.464,0
"G","June",17,0.92,0.2,0.01,1,5.32,8.24,0.4,21.75,0.267,-0.169,0.175,20,0,7,0.7,1,0.75,117.752,0.065,0.226,0.437,0,0.13,0.131,0.067,0.208,0.464,0
"H","April",6,0.95,0.1,0.01,1.1,NA,8.35,0.4,14.5,0.527,-0.471,0.3,60,0.25,4,0.7,0.1,0.3,126.213,0.06,0.283,0.178,0,0.403,0.11,0.343,0.24,0.225,1
"H","June",13,0.594,0.1,0.01,1,7.99,8.59,0.7,25.3,0.367,-0.471,0.15,50,0,5,0.6,0.2,0.2,126.213,0.06,0.283,0.178,0,0.403,0.11,0.343,0.24,0.225,1
"I","April",11,0.7,0.1,0.02,1,NA,8.25,0.2,14.6,0.447,-0.854,0.5,5,0,5,0.7,0.95,0.55,41.926,0.056,0.407,0.16,0,0.314,0.114,0.228,0.455,0.135,0
"I","June",43,0.565,0.1,0.01,0.01,7.12,8.47,0.5,27.17,0.137,-0.854,0.3,5,0.075,6,0.3,0.5,0.4,41.926,0.056,0.407,0.16,0,0.314,0.114,0.228,0.455,0.135,0
"K","June",13,0.513,0.1,0.01,1,7.1,8.42,0.3,22.98,0.533,-0.578,0.075,20,0.575,5,0.5,0.95,0.1,133.782,0.031,0.382,0.169,0,0.363,0.051,0.232,0.417,0.241,1
"K","April",12,0.65,0.2,0.01,1,NA,8.27,0.2,13.9,0.58,-0.578,0.25,10,0.4,4,0.7,0.9,0,133.782,0.031,0.382,0.169,0,0.363,0.051,0.232,0.417,0.241,1
"L","April",2,0.4,0.1,0.01,1,NA,8.29,0.2,9.4,0.293,-1.404,0.2,5,0.35,4,0.85,0.6,0.1,15.886,0.006,0.398,0.068,0,0.507,0.091,0.231,0.52,0.123,1
"L","June",2,0.327,0.1,0.01,2,7.54,8.32,0.3,20.9,0.343,-1.404,0.225,5,0.25,3,0.9,0.9,0.1,15.886,0.006,0.398,0.068,0,0.507,0.091,0.231,0.52,0.123,1
"M","June",8,0.445,0.1,0.01,1.5,6.96,8.19,0.5,23.1,0.403,-0.265,0.15,30,0,3,0.8,0.9,0.15,33.06,0.045,0.39,0.092,0,0.37,0.089,0.285,0.432,0.077,0
"M","April",6,0.52,0.1,0.01,0.1,NA,8.32,0.2,10.6,0.447,-0.265,0.675,50,0.05,2,0.6,0.4,0.2,33.06,0.045,0.39,0.092,0,0.37,0.089,0.285,0.432,0.077,0
"N","April",3,0.84,0.1,0.02,1,NA,8.15,0.3,10.5,0.903,-0.951,0.05,3,0.4,6,0.4,0,0.35,23.199,0.033,0.661,0.214,0,0.064,0.071,0.081,0.592,0.202,0
"N","June",9,0.742,0.3,0.02,1.7,5.73,8.28,0.8,20.5,0.363,-0.951,0.075,10,0.2,7,0.8,0.75,0.05,23.199,0.033,0.661,0.214,0,0.064,0.071,0.081,0.592,0.202,0
"O","April",18,0.87,0.1,0.01,1.5,NA,8.1,0.2,7.9,0.373,-0.927,0.45,3,0.55,6,0.8,0.1,0.3,9.356,0.025,0.039,0.614,0.291,0.029,0.027,0,0,0.739,0
"O","June",21,0.757,0.1,0.01,1,8.01,8.18,0.8,17.33,0.46,-0.927,0.2,4,1,7,0.6,0.05,0.1,9.356,0.025,0.039,0.614,0.291,0.029,0.027,0,0,0.739,0
"P","June",49,0.762,0.1,0.04,1.1,7.29,8.29,0.4,20.83,0.233,-0.042,0.075,5,0.95,6,0.5,0.8,0.3,171.732,0.058,0.274,0.382,0.031,0.201,0.109,0.165,0.271,0.358,1
"P","April",45,0.86,0.1,0.01,1,NA,8.21,0.2,9.5,0.407,-0.042,0.125,2.5,0.9,5,0.25,0.7,0.5,171.732,0.058,0.274,0.382,0.031,0.201,0.109,0.165,0.271,0.358,1
"Q","April",10,0.62,0.1,0.02,1.1,NA,8.27,0.8,11.1,0.287,-0.312,0.75,5,0.25,5,0.3,0,0.75,33.123,0.058,0.402,0.329,0.02,0.191,0.094,0.144,0.348,0.386,0
"Q","June",10,0.516,0.2,0.04,3.3,7.66,8.45,0.3,17.5,0.237,-0.312,0.775,5,0.3,7,0.5,0,0.6,33.123,0.058,0.402,0.329,0.02,0.191,0.094,0.144,0.348,0.386,0
"R","June",50,0.838,0.3,0.06,0.1,6.31,8.17,0.8,20.07,0.197,-1.625,0.675,3,1,6,0.3,0.2,0.9,32.718,0.107,0.263,0.101,0,0.343,0.161,0.276,0.185,0.087,1
"R","April",36,0.9,0.1,0.01,1,NA,7.92,0.2,8.6,0.337,-1.625,0.55,3,0.9,7,0.2,0.2,0.55,32.718,0.107,0.263,0.101,0,0.343,0.161,0.276,0.185,0.087,1
"S","April",10,0.85,0.1,0.01,1,NA,8.24,0.3,11.6,0.407,-0.204,0,15,0.825,4,0.3,0.7,0.1,157.004,0.074,0.311,0.167,0,0.354,0.154,0.208,0.308,0.222,1
"S","June",16,0.675,1.3,0.02,1.6,6.95,8.26,0.6,23.64,0.23,-0.204,0.15,25,0.825,5,0.8,0.6,0.25,157.004,0.074,0.311,0.167,0,0.354,0.154,0.208,0.308,0.222,1
"T","June",23,0.901,0.1,0.03,1.1,6.58,8.3,0.8,22.62,0.347,-0.014,0.25,20,0.525,3,0.5,0.2,0.4,176.799,0.071,0.355,0.202,0,0.308,0.134,0.187,0.349,0.255,1
"T","April",14,1.02,0.1,0.02,1.5,NA,8.33,0.2,12.6,0.327,-0.014,0.225,20,0.45,3,0.3,0.2,0.4,176.799,0.071,0.355,0.202,0,0.308,0.134,0.187,0.349,0.255,1
"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.86,0,0.314,0,0.018,0.668,0,0.824,0.176,0,0
"Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.939,0,0.059,0,0,0.941,0,0.916,0.084,0,0
"Z",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.991,0.011,0.106,0,0.007,0.824,0,0.739,0.23,0,0
