"site","elCond","orthoP","percentO2","flow","max_sumTUiv","fineSed","pastures","arableLand","FUS","ls_hetero"
"A",0.703,0.5,71,0.307,-1.059,0.2,0.708,0.119,0,5.87349676225717
"B",0.297,0.3,107.7,0.277,-1.349,0.05,0.41,0.122,1,8.41926310583581
"C",0.945,1,68.8,0.14,-0.814,0.65,0.264,0.588,0,3.92656391659112
"D",0.696,0.2,95.4,0.443,-0.179,0,0.452,0.097,1,9.86686772942697
"E",0.336,0.6,76.1,0.233,-0.407,0.5,0.211,0.397,1,6.94247787610619
"F",0.742,0.7,57.6,0.047,-0.512,0.3,0.205,0.529,0,4.54761904761905
"G",0.92,0.4,60.1,0.267,-0.169,0.75,0.226,0.437,0,10.454534964228
"H",0.594,0.7,98.7,0.367,-0.471,0.2,0.283,0.178,1,9.68669336893636
"I",0.565,0.5,90.9,0.137,-0.854,0.4,0.407,0.16,0,7.14280200694712
"K",0.513,0.3,85.1,0.533,-0.578,0.1,0.382,0.169,1,11.9926518262373
"L",0.327,0.3,88.2,0.343,-1.404,0.1,0.398,0.068,1,4.04263322884012
"M",0.445,0.5,83.5,0.403,-0.265,0.15,0.39,0.092,0,6.99239130434783
"N",0.742,0.8,68.3,0.363,-0.951,0.05,0.661,0.214,0,5.94499221587961
"O",0.757,0.8,87.7,0.46,-0.927,0.1,0.039,0.614,0,2.77900326797386
"P",0.762,0.4,86.4,0.233,-0.042,0.3,0.274,0.382,1,11.2945454545455
"Q",0.516,0.3,85.2,0.237,-0.312,0.6,0.402,0.329,0,6.14372557533652
"R",0.838,0.8,73.3,0.197,-1.625,0.9,0.263,0.101,1,5.5277534965035
"S",0.675,0.6,84.1,0.23,-0.204,0.25,0.311,0.167,1,12.8055056852184
"T",0.901,0.8,78.5,0.347,-0.014,0.4,0.355,0.202,1,13.6203233690543
