"Asellidae.Gen.sp.","Baetidae.Gen.sp.","Bivalvia","Caenidae.Gen.sp.","Ceratopogonidae.Gen.sp.","Chironomidae.Gen.sp.","Corduliidae.Gen.sp.","Dixidae.Gen.sp.","Elmidae.Gen.sp.","Empididae.Gen.sp.","Ephemerellidae.Gen.sp.","Erpobdellidae.Gen.sp.","Gammaridae.Gen.sp.","Gastropoda","Glossiphoniidae.Gen.sp.","Gomphidae.Gen.sp.","Heptageniidae.Gen.sp.","Hydraenidae.Gen.sp.","Hydrophilidae.Gen.sp.","Hydropsychidae.Gen.sp.","Hydroptilidae.Gen.sp.","Leptoceridae.Gen.sp.","Leptophlebiidae.Gen.sp.","Leuctridae.Gen.sp.","Limnephilidae.Gen.sp.","Limoniidae.Gen.sp.","Oligochaeta","Platycnemididae.Gen.sp.","Psychodidae.Gen.sp.","Sialidae.Gen.sp.","Simuliidae.Gen.sp.","Sphaeriidae.Gen.sp.","Tabanidae.Gen.sp.","Tipulidae.Gen.sp."
0,659,0,3,1,435,0,0,5,0,7,26,477,0,3,0,0,1,4,325,0,0,0,0,0,9,1832,0,1,0,477,0,3,1
0,313,0,7,14,832,0,0,11,1,2,0,0,0,0,0,3,0,0,347,1,0,0,16,0,23,43,0,0,0,8,0,0,0
1,678,832,0,0,747,0,3,0,0,0,5,47,2,11,0,0,1,5,14,0,0,5,0,3,29,854,1,4,0,28,0,1,3
0,90,0,3,17,485,0,0,184,0,100,0,26,0,0,0,3,2,0,329,2,0,0,76,2,8,35,0,0,0,48,0,0,0
0,2,1,0,0,327,1,0,0,0,1,0,3,0,0,0,1,0,0,0,0,0,13,0,4,0,573,0,0,3,0,0,1,0
245,0,1,0,0,200,4,0,0,0,0,4,56,1,0,0,0,0,0,0,0,0,126,0,0,0,4,0,0,0,1,0,0,0
8,0,0,0,0,16,0,0,0,0,0,3,3132,0,2,0,0,0,0,10,0,0,0,0,7,6,30,0,0,1,0,0,0,0
0,30,0,7,0,107,0,0,0,0,1,1,1,0,0,0,0,2,0,81,0,1,5,0,0,2,587,0,0,0,10,0,0,0
0,111,0,6,1,75,0,0,0,1,4,0,1,0,0,2,0,0,2,2,0,7,0,0,0,9,25,0,0,0,0,0,1,0
0,23,0,46,2,341,0,0,3,0,246,1,39,0,0,3,16,0,0,82,0,0,0,4,1,3,49,0,2,0,6,0,3,0
0,30,0,0,0,12,0,0,3,0,1,0,0,0,0,0,1,0,0,0,0,0,2,1,1,1,1,0,0,0,12,0,0,0
0,20,0,0,0,10,0,0,0,0,17,0,507,0,0,0,0,0,0,0,0,0,0,0,1,0,21,0,0,0,72,0,1,0
0,313,0,0,1,37,0,13,102,0,0,0,178,0,0,0,0,2,0,4,0,0,20,0,1,17,34,1,0,0,46,0,0,0
0,59,5,0,1,44,0,0,16,0,0,3,1544,1,2,0,0,0,0,0,0,0,0,0,5,0,637,0,0,0,169,0,0,0
0,7,0,19,0,81,0,0,0,0,4,1,23,0,1,1,0,0,0,14,1,0,9,0,0,1,553,2,1,0,8,1,0,0
0,23,0,3,0,34,0,0,0,0,1,0,16,0,4,0,0,0,0,1,0,0,4,0,0,24,2418,0,0,0,0,2,1,0
0,5,0,0,1,453,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,640,0,1,0,6,0,0,0
0,161,0,8,1,26,0,0,0,0,0,1,2,0,0,0,2,0,0,39,0,0,0,0,0,0,2,0,0,0,11,0,0,0
5,50,0,21,0,86,0,0,1,0,1,0,29,0,0,2,2,0,0,103,5,0,9,0,0,0,41,0,0,0,12,0,0,0
