site,leaf_type,mesh_size,mean_mass_start,mean_mass_end,mass_loss,remaining_mass
A,E,fine,2.057,1.12,45.561620745543,54.44
A,B,fine,2.05,1.53,25.4009756097561,74.6
A,MI_E,fine,1.023,0.584,42.9579804560261,57.04
A,MI_B,fine,1.01,0.742,26.5527392739274,73.45
B,E,fine,2,1.363422,31.8289,68.1711
B,B,fine,NA,NA,NA,NA
B,MI_E,fine,0.97,0.165141333333333,82.9751202749141,17.0248797250859
B,MI_B,fine,0.97,0.801244,17.3975257731959,82.6024742268041
C,E,fine,2.005,0.998563,50.1963591022444,49.8036408977556
C,B,fine,2.015,1.625716,19.3193052109181,80.6806947890819
C,MI_E,fine,1,0.546896,45.3104,54.6896
C,MI_B,fine,1.02,0.850708666666667,16.5971895424837,83.4028104575163
D,E,fine,2.03,0.54096,73.351724137931,26.648275862069
D,B,fine,2.01,1.304014,35.1236815920398,64.8763184079602
D,MI_E,fine,1.065,0.476322,55.2749295774648,44.7250704225352
D,MI_B,fine,1.04,0.764778,26.4636538461539,73.5363461538461
E,E,fine,1.98,1.08309866666667,45.2980471380471,54.7019528619529
E,B,fine,2.025,1.536963,24.1005925925926,75.8994074074074
E,MI_E,fine,1.02,0.524558666666667,48.5726797385621,51.4273202614379
E,MI_B,fine,1.005,0.785675,21.8233830845771,78.1766169154229
F,E,fine,2.04,0.836375,59.0012254901961,40.9987745098039
F,B,fine,2.02,1.498258,25.8288118811881,74.1711881188119
F,MI_E,fine,1.01,0.366453333333333,63.7174917491749,36.2825082508251
F,MI_B,fine,0.99,0.746281333333333,24.6180471380472,75.3819528619529
G,E,fine,2.04,0.65513,67.8857843137255,32.1142156862745
G,B,fine,0.852863333333334,0.880931333333333,3.18617342100821,96.8138265789918
G,MI_E,fine,0.203753333333333,0.321104,36.545999634594,63.454000365406
G,MI_B,fine,0.7047375,0.753952,6.52753756207289,93.4724624379271
H,E,fine,2.05,1.320376,35.5914146341463,64.4085853658537
H,B,fine,2,1.562264,21.8868,78.1132
H,MI_E,fine,0.98,0.387438,60.4655102040816,39.5344897959184
H,MI_B,fine,NA,NA,NA,NA
I,E,fine,2.015,1.010726,49.8399007444169,50.1600992555831
I,B,fine,2.04,1.32722,34.9401960784314,65.0598039215686
I,MI_E,fine,0.98,0.35591,63.6826530612245,36.3173469387755
I,MI_B,fine,1.01,0.700676,30.6261386138614,69.3738613861386
K,E,fine,1.96,1.226792,37.4085714285714,62.5914285714286
K,B,fine,2,1.507657,24.61715,75.38285
K,MI_E,fine,0.985,0.484683,50.7936040609137,49.2063959390863
K,MI_B,fine,1.045,0.814929,22.0163636363637,77.9836363636364
L,E,fine,2.03333333333333,1.12306533333333,44.7672786885246,55.2327213114754
L,B,fine,2.03,1.24785266666667,38.5294252873563,61.4705747126437
L,MI_E,fine,1.02,0.521392,48.8831372549019,51.1168627450981
L,MI_B,fine,0.996666666666667,0.795572666666667,20.1766555183947,79.8233444816053
N,E,fine,2.08,0.530445,74.4978365384615,25.5021634615385
N,B,fine,2,1.45307666666667,27.3461666666666,72.6538333333334
N,MI_E,fine,0.99,0.391244,60.480404040404,39.519595959596
N,MI_B,fine,1.03,0.778444666666667,24.4228478964401,75.5771521035599
O,E,fine,2.04,1.21089266666667,40.6425163398693,59.3574836601307
O,B,fine,2.04333333333333,1.528878,25.1772593800979,74.8227406199021
O,MI_E,fine,1.00333333333333,0.460314,54.1215282392026,45.8784717607974
O,MI_B,fine,1.00333333333333,0.752664,24.9836544850498,75.0163455149502
P,E,fine,2.08,1.24615,40.0889423076923,59.9110576923077
P,B,fine,2.02,1.476046,26.9284158415842,73.0715841584158
P,MI_E,fine,1.01,0.22634,77.590099009901,22.409900990099
P,MI_B,fine,1.02,0.735296,27.9121568627451,72.0878431372549
Q,E,fine,2.05,1.121136,45.3104390243903,54.6895609756098
Q,B,fine,1.965,1.430575,27.1972010178117,72.8027989821883
Q,MI_E,fine,NA,NA,NA,NA
Q,MI_B,fine,NA,NA,NA,NA
R,E,fine,2,1.227904,38.6048,61.3952
R,B,fine,2,1.69996,15.002,84.998
R,MI_E,fine,0.98,0.676292,30.9906122448979,69.0093877551021
R,MI_B,fine,NA,NA,NA,NA
S,E,fine,1.99,0.8434,57.6180904522613,42.3819095477387
S,B,fine,2.03,1.406857,30.6966995073892,69.3033004926108
S,MI_E,fine,0.983333333333333,0.541208666666667,44.9618305084746,55.0381694915254
S,MI_B,fine,1.01,0.714622,29.2453465346535,70.7546534653465
T,E,fine,2.025,0.3441225,83.0062962962963,16.9937037037037
T,B,fine,1.98,1.414804,28.5452525252525,71.4547474747475
T,MI_E,fine,1.01333333333333,0.254968,74.8386842105263,25.1613157894737
T,MI_B,fine,1.00666666666667,0.023670222222222,97.6486534216335,2.35134657836646
